date,year,quarter,quarter_label,month,month_name,month_short,year_month,day,day_of_week,day_name,is_weekend,week_of_year
2008-01-01,2008,1,Q1,1,January,Jan,2008-01,1,2,Tuesday,False,1
2008-01-02,2008,1,Q1,1,January,Jan,2008-01,2,3,Wednesday,False,1
2008-01-03,2008,1,Q1,1,January,Jan,2008-01,3,4,Thursday,False,1
2008-01-04,2008,1,Q1,1,January,Jan,2008-01,4,5,Friday,False,1
2008-01-05,2008,1,Q1,1,January,Jan,2008-01,5,6,Saturday,True,1
2008-01-06,2008,1,Q1,1,January,Jan,2008-01,6,7,Sunday,True,1
2008-01-07,2008,1,Q1,1,January,Jan,2008-01,7,1,Monday,False,2
2008-01-08,2008,1,Q1,1,January,Jan,2008-01,8,2,Tuesday,False,2
2008-01-09,2008,1,Q1,1,January,Jan,2008-01,9,3,Wednesday,False,2
2008-01-10,2008,1,Q1,1,January,Jan,2008-01,10,4,Thursday,False,2
2008-01-11,2008,1,Q1,1,January,Jan,2008-01,11,5,Friday,False,2
2008-01-12,2008,1,Q1,1,January,Jan,2008-01,12,6,Saturday,True,2
2008-01-13,2008,1,Q1,1,January,Jan,2008-01,13,7,Sunday,True,2
2008-01-14,2008,1,Q1,1,January,Jan,2008-01,14,1,Monday,False,3
2008-01-15,2008,1,Q1,1,January,Jan,2008-01,15,2,Tuesday,False,3
2008-01-16,2008,1,Q1,1,January,Jan,2008-01,16,3,Wednesday,False,3
2008-01-17,2008,1,Q1,1,January,Jan,2008-01,17,4,Thursday,False,3
2008-01-18,2008,1,Q1,1,January,Jan,2008-01,18,5,Friday,False,3
2008-01-19,2008,1,Q1,1,January,Jan,2008-01,19,6,Saturday,True,3
2008-01-20,2008,1,Q1,1,January,Jan,2008-01,20,7,Sunday,True,3
2008-01-21,2008,1,Q1,1,January,Jan,2008-01,21,1,Monday,False,4
2008-01-22,2008,1,Q1,1,January,Jan,2008-01,22,2,Tuesday,False,4
2008-01-23,2008,1,Q1,1,January,Jan,2008-01,23,3,Wednesday,False,4
2008-01-24,2008,1,Q1,1,January,Jan,2008-01,24,4,Thursday,False,4
2008-01-25,2008,1,Q1,1,January,Jan,2008-01,25,5,Friday,False,4
2008-01-26,2008,1,Q1,1,January,Jan,2008-01,26,6,Saturday,True,4
2008-01-27,2008,1,Q1,1,January,Jan,2008-01,27,7,Sunday,True,4
2008-01-28,2008,1,Q1,1,January,Jan,2008-01,28,1,Monday,False,5
2008-01-29,2008,1,Q1,1,January,Jan,2008-01,29,2,Tuesday,False,5
2008-01-30,2008,1,Q1,1,January,Jan,2008-01,30,3,Wednesday,False,5
2008-01-31,2008,1,Q1,1,January,Jan,2008-01,31,4,Thursday,False,5
2008-02-01,2008,1,Q1,2,February,Feb,2008-02,1,5,Friday,False,5
2008-02-02,2008,1,Q1,2,February,Feb,2008-02,2,6,Saturday,True,5
