product_key,product_name,brand_key,category,subcategory,color
1,Contoso 512MB MP3 Player E51 Silver,3,Audio,MP4&MP3,Silver
2,Contoso 512MB MP3 Player E51 Blue,3,Audio,MP4&MP3,Blue
3,Contoso 1G MP3 Player E100 White,3,Audio,MP4&MP3,White
4,Contoso 2G MP3 Player E200 Silver,3,Audio,MP4&MP3,Silver
5,Contoso 2G MP3 Player E200 Red,3,Audio,MP4&MP3,Red
6,Contoso 2G MP3 Player E200 Black,3,Audio,MP4&MP3,Black
7,Contoso 2G MP3 Player E200 Blue,3,Audio,MP4&MP3,Blue
8,Contoso 4G MP3 Player E400 Silver,3,Audio,MP4&MP3,Silver
9,Contoso 4G MP3 Player E400 Black,3,Audio,MP4&MP3,Black
10,Contoso 4G MP3 Player E400 Green,3,Audio,MP4&MP3,Green
11,Contoso 4G MP3 Player E400 Orange,3,Audio,MP4&MP3,Orange
12,Contoso 4GB Flash MP3 Player E401 Blue,3,Audio,MP4&MP3,Blue
13,Contoso 4GB Flash MP3 Player E401 Black,3,Audio,MP4&MP3,Black
14,Contoso 4GB Flash MP3 Player E401 Silver,3,Audio,MP4&MP3,Silver
15,Contoso 4GB Flash MP3 Player E401 White,3,Audio,MP4&MP3,White
16,Contoso 8GB Super-Slim MP3/Video Player M800 White,3,Audio,MP4&MP3,White
17,Contoso 8GB Super-Slim MP3/Video Player M800 Red,3,Audio,MP4&MP3,Red
18,Contoso 8GB Super-Slim MP3/Video Player M800 Green,3,Audio,MP4&MP3,Green
19,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,3,Audio,MP4&MP3,Pink
20,Contoso 8GB MP3 Player new model M820 Black,3,Audio,MP4&MP3,Black
21,Contoso 8GB MP3 Player new model M820 Blue,3,Audio,MP4&MP3,Blue
22,Contoso 8GB MP3 Player new model M820 Yellow,3,Audio,MP4&MP3,Yellow
23,Contoso 8GB MP3 Player new model M820 White,3,Audio,MP4&MP3,White
24,Contoso 16GB Mp5 Player M1600 Blue,3,Audio,MP4&MP3,Blue
25,Contoso 16GB Mp5 Player M1600 Black,3,Audio,MP4&MP3,Black
